date,ticker,path,step,skew
2025-08-29,UBER,0,0,0.016471
2025-09-01,UBER,0,1,0.021053158575966797
2025-09-02,UBER,0,2,0.01462711212984177
2025-09-03,UBER,0,3,0.02389473355276624
2025-09-04,UBER,0,4,-0.002796628965170321
2025-09-05,UBER,0,5,-0.03581232478899319
2025-09-08,UBER,0,6,-0.007545356163464495
2025-09-09,UBER,0,7,0.055808912923984044
2025-09-10,UBER,0,8,0.014643407796238947
2025-09-11,UBER,0,9,0.02245223592593436
2025-09-12,UBER,0,10,0.027446875039930686
2025-09-15,UBER,0,11,0.12164323149094139
2025-09-16,UBER,0,12,0.0694669966067112
2025-09-17,UBER,0,13,0.06167174096433744
2025-09-18,UBER,0,14,0.04654907121925241
2025-09-19,UBER,0,15,0.022695628745012145
2025-09-22,UBER,0,16,0.05279393966026086
2025-09-23,UBER,0,17,0.07611533554532786
2025-09-24,UBER,0,18,0.03946378856005965
2025-09-25,UBER,0,19,0.0822779416755676
2025-09-26,UBER,0,20,0.07839476343882915
2025-09-29,UBER,0,21,0.08338985299825756
2025-09-30,UBER,0,22,0.06829173925243588
2025-10-01,UBER,0,23,0.08157871131001716
2025-10-02,UBER,0,24,0.056132091007167165
2025-10-03,UBER,0,25,0.04718204690714366
2025-10-06,UBER,0,26,0.03194900301624419
2025-10-07,UBER,0,27,0.06425678799097709
2025-10-08,UBER,0,28,0.061711251051152695
2025-10-09,UBER,0,29,0.08306460743842446
2025-10-10,UBER,0,30,0.06999760138274345
2025-10-13,UBER,0,31,0.019540828295484924
2025-10-14,UBER,0,32,0.00015424501613452157
2025-10-15,UBER,0,33,0.027091296518940454
2025-10-16,UBER,0,34,0.03365939023601276
2025-10-17,UBER,0,35,0.035369738568321686
2025-10-20,UBER,0,36,0.056319724222433996
2025-10-21,UBER,0,37,0.06252516111664684
2025-10-22,UBER,0,38,0.0583680822206038
2025-10-23,UBER,0,39,0.015666159153297315
2025-10-24,UBER,0,40,0.019682581720462992
2025-10-27,UBER,0,41,0.025157530980668072
2025-10-28,UBER,0,42,0.02842182602995805
2025-10-29,UBER,0,43,0.08360648730900809
2025-10-30,UBER,0,44,0.06082657320352657
2025-10-31,UBER,0,45,0.03489144129500649
2025-11-03,UBER,0,46,-0.003490231720549436
2025-11-04,UBER,0,47,0.0360881578655987
2025-11-05,UBER,0,48,-0.018807713045489248
2025-11-06,UBER,0,49,-0.007681362104591706
2025-11-07,UBER,0,50,0.005586519501306859
2025-11-10,UBER,0,51,0.03443326859478483
2025-11-11,UBER,0,52,-0.02001449044041674
2025-11-12,UBER,0,53,0.007286631323915802
2025-11-13,UBER,0,54,-0.0392587047725105
2025-11-14,UBER,0,55,-0.02500342550161088
2025-11-17,UBER,0,56,-0.0030056840594276223
2025-11-18,UBER,0,57,0.036860203167231584
2025-11-19,UBER,0,58,0.023448149700537328
2025-11-20,UBER,0,59,0.027364880423401655
2025-11-21,UBER,0,60,0.02304379457618467
2025-11-24,UBER,0,61,0.02913600522983034
2025-11-25,UBER,0,62,0.00835667305575281
2025-08-29,UBER,1,0,0.016471
2025-09-01,UBER,1,1,0.01098884232947998
2025-09-02,UBER,1,2,0.0201977690359735
2025-09-03,UBER,1,3,0.06423232437469051
2025-09-04,UBER,1,4,0.06819998243779107
2025-09-05,UBER,1,5,0.05293045541967531
2025-09-08,UBER,1,6,0.03497578211763011
2025-09-09,UBER,1,7,0.046754598114392296
2025-09-10,UBER,1,8,0.027643339386625686
2025-09-11,UBER,1,9,0.06748711545287304
2025-09-12,UBER,1,10,0.06361669905579653
2025-09-15,UBER,1,11,0.08624689781194352
2025-09-16,UBER,1,12,0.023665197072676038
2025-09-17,UBER,1,13,-0.0282235815377715
2025-09-18,UBER,1,14,-0.007152371644719547
2025-09-19,UBER,1,15,-0.012825045937088015
2025-09-22,UBER,1,16,0.04992976935462211
2025-09-23,UBER,1,17,0.032317789353438875
2025-09-24,UBER,1,18,0.022811502641693477
2025-09-25,UBER,1,19,0.013899503074554129
2025-09-26,UBER,1,20,0.011741110584142712
2025-09-29,UBER,1,21,0.029740160309133123
2025-09-30,UBER,1,22,0.03582469031328014
2025-10-01,UBER,1,23,0.029597505529543308
2025-10-02,UBER,1,24,-0.03748570419047531
2025-10-03,UBER,1,25,0.02133220515925782
2025-10-06,UBER,1,26,0.03802929424438025
2025-10-07,UBER,1,27,0.04060090593778518
2025-10-08,UBER,1,28,0.024528434930813046
2025-10-09,UBER,1,29,0.00689513173004731
2025-10-10,UBER,1,30,0.007614735217265748
2025-10-13,UBER,1,31,0.01977494265890286
2025-10-14,UBER,1,32,-0.01651200514587197
2025-10-15,UBER,1,33,0.03217267585896544
2025-10-16,UBER,1,34,0.07882560092597328
2025-10-17,UBER,1,35,0.06407769727837337
2025-10-20,UBER,1,36,0.04076012973644303
2025-10-21,UBER,1,37,0.05770895672687487
2025-10-22,UBER,1,38,0.052618788556160506
2025-10-23,UBER,1,39,0.010553995236689158
2025-10-24,UBER,1,40,0.05302189779469514
2025-10-27,UBER,1,41,0.05063602263140789
2025-10-28,UBER,1,42,0.04257048628509247
2025-10-29,UBER,1,43,0.043017154244161096
2025-10-30,UBER,1,44,0.10485171970305289
2025-10-31,UBER,1,45,0.07771842319976145
2025-11-03,UBER,1,46,0.04674278318347029
2025-11-04,UBER,1,47,0.014831902118831567
2025-11-05,UBER,1,48,0.04094459218490217
2025-11-06,UBER,1,49,0.036365499775899264
2025-11-07,UBER,1,50,0.018136597396816365
2025-11-10,UBER,1,51,-0.03352173132706823
2025-11-11,UBER,1,52,0.010117600313190363
2025-11-12,UBER,1,53,0.029358800647449942
2025-11-13,UBER,1,54,0.03847662231719112
2025-11-14,UBER,1,55,0.03913203229013565
2025-11-17,UBER,1,56,0.01926370822432189
2025-11-18,UBER,1,57,0.02941679723603565
2025-11-19,UBER,1,58,-0.01814120370569864
2025-11-20,UBER,1,59,-0.020043120931777455
